Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate (30 yers),Personal_Income,Resident_Population,Unemployment_Rate,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,New_Structures,Economic_Conditions_Index,CPI all items less shelter
12/1/2009,118.83345,4.93,40995,6392.065,8,336217.27,792.1622,43.10%,134995,4.80%,1519,1.47,209.407
1/1/2010,117.29445,5.03,40995,6392.065,8.6,336217.27,701.0388,43.20%,134660,4.80%,1565,1.9,209.407
2/1/2010,115.26581,4.99,44888,6510.544,8.4,354989.304,701.0388,43.20%,134660,4.80%,1382,1.94,218.068
3/1/2010,115.8238,4.97,44888,6510.544,8.3,354989.304,701.0388,43.20%,134660,4.80%,2296,2.76,218.068
4/1/2010,118.17714,5.1,44888,6510.544,7.9,354989.304,701.0388,43.00%,134736,4.40%,1481,3.24,218.068
5/1/2010,119.91624,4.89,44888,6510.544,7.9,354989.304,701.0388,43.00%,134736,4.40%,1264,3.38,218.068
6/1/2010,121.04087,4.74,44888,6510.544,8.3,354989.304,701.0388,43.00%,134736,4.40%,1683,3.46,218.068
7/1/2010,120.75475,4.56,44888,6510.544,8.3,354989.304,701.0388,42.70%,134418,4.30%,1897,3.43,218.068
8/1/2010,119.35893,4.43,44888,6510.544,8.1,354989.304,701.0388,42.70%,134418,4.30%,1810,3.53,218.068
9/1/2010,117.44474,4.35,44888,6510.544,7.9,354989.304,701.0388,42.70%,134418,4.30%,1641,3.77,218.068
10/1/2010,116.11164,4.23,44888,6510.544,7.7,354989.304,701.0388,41.90%,133088,4.30%,1166,3.95,218.068
11/1/2010,114.88219,4.3,44888,6510.544,8,354989.304,701.0388,41.90%,133088,4.30%,1609,3.59,218.068
12/1/2010,114.66703,4.71,44888,6510.544,7.6,354989.304,701.0388,41.90%,133088,4.30%,1428,3.9,218.068
1/1/2011,114.04325,4.76,44888,6510.544,8.1,354989.304,681.1003,42.10%,133040,4.20%,1385,4,218.068
2/1/2011,113.7843,4.95,46644,6644.559,7.8,374743.312,681.1003,42.10%,133040,4.20%,2079,4.23,221.221
3/1/2011,112.75775,4.84,46644,6644.559,7.6,374743.312,681.1003,42.10%,133040,4.20%,2299,4.55,221.221
4/1/2011,113.28027,4.84,46644,6644.559,7.3,374743.312,681.1003,42.00%,131851,3.90%,1896,4.48,221.221
5/1/2011,114.27635,4.64,46644,6644.559,7.4,374743.312,681.1003,42.00%,131851,3.90%,1833,4.13,221.221
6/1/2011,115.90149,4.51,46644,6644.559,8.2,374743.312,681.1003,42.00%,131851,3.90%,2260,4.19,221.221
7/1/2011,116.92138,4.55,46644,6644.559,8,374743.312,681.1003,41.70%,130933,3.90%,2684,4.47,221.221
8/1/2011,117.11197,4.27,46644,6644.559,7.8,374743.312,681.1003,41.70%,130933,3.90%,3323,4.45,221.221
9/1/2011,116.44224,4.11,46644,6644.559,7.6,374743.312,681.1003,41.70%,130933,3.90%,1634,4.53,221.221
10/1/2011,115.42153,4.07,46644,6644.559,7.3,374743.312,681.1003,41.20%,129965,4.00%,2029,4.41,221.221
11/1/2011,113.99559,3.99,46644,6644.559,6.9,374743.312,681.1003,41.20%,129965,4.00%,1098,4.53,221.221
12/1/2011,113.18091,3.96,46644,6644.559,6.7,374743.312,681.1003,41.20%,129965,4.00%,1982,4.62,221.221
1/1/2012,112.63033,3.92,46644,6644.559,7.1,374743.312,674.9633,41.20%,129227,4.00%,2499,4.82,221.221
2/1/2012,112.72139,3.89,47092,6753.889,6.9,392917.447,674.9633,41.20%,129227,4.00%,1485,4.78,224.318
3/1/2012,114.47638,3.95,47092,6753.889,6.7,392917.447,674.9633,41.20%,129227,4.00%,2447,4.46,224.318
4/1/2012,116.4207,3.91,47092,6753.889,6.3,392917.447,674.9633,41.00%,128203,3.90%,2351,4.05,224.318
5/1/2012,118.6002,3.8,47092,6753.889,6.6,392917.447,674.9633,41.00%,128203,3.90%,3131,3.86,224.318
6/1/2012,120.13666,3.68,47092,6753.889,7.1,392917.447,674.9633,41.00%,128203,3.90%,3293,3.96,224.318
7/1/2012,121.21355,3.55,47092,6753.889,7.1,392917.447,674.9633,40.40%,127564,3.70%,3202,3.83,224.318
8/1/2012,121.37818,3.6,47092,6753.889,6.8,392917.447,674.9633,40.40%,127564,3.70%,4376,4.23,224.318
9/1/2012,121.5624,3.5,47092,6753.889,6.2,392917.447,674.9633,40.40%,127564,3.70%,2092,4.31,224.318
10/1/2012,120.73864,3.38,47092,6753.889,6.1,392917.447,674.9633,40.10%,127334,3.50%,3004,4.17,224.318
11/1/2012,120.59551,3.35,47092,6753.889,5.9,392917.447,674.9633,40.10%,127334,3.50%,2415,4.04,224.318
12/1/2012,120.50621,3.35,47092,6753.889,6,392917.447,674.9633,40.10%,127334,3.50%,2241,3.56,224.318
1/1/2013,120.52825,3.41,47092,6753.889,6.9,392917.447,663.7371,39.60%,127063,3.30%,2824,3.41,224.318
2/1/2013,120.71903,3.53,49866,6889.769,6.4,415238.962,663.7371,39.60%,127063,3.30%,2464,4.13,224.78
3/1/2013,122.3093,3.57,49866,6889.769,6.2,415238.962,663.7371,39.60%,127063,3.30%,2395,4.16,224.78
4/1/2013,125.05182,3.45,49866,6889.769,5.8,415238.962,663.7371,39.00%,127280,3.00%,2925,3.95,224.78
5/1/2013,127.60936,3.54,49866,6889.769,6.1,415238.962,663.7371,39.00%,127280,3.00%,2820,4.24,224.78
6/1/2013,129.78901,4.07,49866,6889.769,6.7,415238.962,663.7371,39.00%,127280,3.00%,3328,4.34,224.78
7/1/2013,131.48233,4.37,49866,6889.769,6.5,415238.962,663.7371,37.90%,127806,2.80%,3971,4.48,224.78
8/1/2013,132.30445,4.46,49866,6889.769,6.1,415238.962,663.7371,37.90%,127806,2.80%,2954,4.67,224.78
9/1/2013,132.58745,4.49,49866,6889.769,6,415238.962,663.7371,37.90%,127806,2.80%,3511,4.44,224.78
10/1/2013,132.46442,4.19,49866,6889.769,5.9,415238.962,663.7371,38.10%,128464,2.70%,4833,4.13,224.78
