Mortgage_Rate (30 yers),Personal_Income,Resident_Population,Unemployment_Rate,GDP,Crime_Rate,Median_Debt,New_Structures,Economic_Conditions_Index,CPI less shelter,Percent_With_Mortgage_Debt,Percent_With_Severely_Delinquent_Debt
1.0786453621937733,-1.9130620270617493,-1.8553386964592768,-0.9196700864298933,-1.5785907617147599,2.035593970696611,-3.2582478427519175,1.0169440448287392,0.034385649123718685,-2.1561106803220293,0.46847277743387733,-1.5119181201723286
1.0115699363094552,-1.3631026438492724,-1.697681421593466,-0.9196700864298933,-1.2882306861999548,2.035593970696611,-3.1158176583764883,0.5282961092766041,0.28883945263923666,-2.078753955400401,0.46847277743387733,-1.5542255283374837
0.8774190845408173,-1.3631026438492724,-1.697681421593466,-0.9744211615673123,-1.2882306861999548,2.035593970696611,-3.1158176583764883,0.6463217086199955,0.22340847459238897,-2.0400755929395866,0.46847277743387733,-1.5542255283374837
0.7432682327721802,-1.3631026438492724,-1.697681421593466,-0.9196700864298933,-1.2882306861999548,2.035593970696611,-3.1158176583764883,0.46101962972521826,0.10708673584243815,-2.10196097287689,0.46847277743387733,-1.5542255283374837
0.8582546771452981,-1.3631026438492724,-1.697681421593466,-0.9196700864298933,-1.2882306861999548,2.035593970696611,-2.8058225512064365,0.462806599509064,0.11435684451430993,-1.9781902130022848,0.36294161904694805,-1.5119181201723286
0.973241121518416,-1.3631026438492724,-1.697681421593466,-0.8649190112924738,-1.2882306861999548,2.035593970696611,-2.8058225512064365,0.9291044755654386,-0.07466598095436035,-1.8157410906668627,0.36294161904694805,-1.5119181201723286
0.9253301030296163,-1.3631026438492724,-1.697681421593466,-0.8101679361550548,-1.2882306861999548,2.035593970696611,-2.8058225512064365,0.6300368588560935,-0.30003934978239066,-1.490842845996023,0.36294161904694805,-1.5119181201723286
1.2127962139624113,-1.3631026438492724,-1.697681421593466,-0.8101679361550548,-1.2882306861999548,2.035593970696611,-2.420758358624394,0.34827641006534665,-0.256418697751159,-1.5681995709176517,0.25741046066001505,-1.5119181201723286
1.4619335101041662,-1.3631026438492724,-1.697681421593466,-0.8101679361550548,-1.2882306861999548,2.035593970696611,-2.420758358624394,0.4248063370186765,-0.05285565493874467,-1.6764989858079324,0.25741046066001505,-1.5119181201723286
1.4044402879176068,-1.3631026438492724,-1.697681421593466,-0.8649190112924738,-1.2882306861999548,2.035593970696611,-2.420758358624394,0.48347479488524103,0.09254651849869426,-1.7770627282060483,0.25741046066001505,-1.5119181201723286
1.2894538435444898,-1.3631026438492724,-1.697681421593466,-0.8649190112924738,-1.2882306861999548,1.0128277398110856,-1.9091267943581467,0.8866468485708555,0.027115540451846578,-1.6610276408236053,0.7323006734012061,-1.5119181201723286
1.3852758805220877,-0.8304799837503237,-1.2649445997717266,-0.9196700864298933,-1.057142626258678,1.0128277398110856,-1.9091267943581467,0.45670234445858393,-0.03104532892312899,-1.6919703307922571,0.7323006734012061,-1.5119181201723286
1.4523513064064066,-0.8304799837503237,-1.2649445997717266,-0.9196700864298933,-1.057142626258678,1.0128277398110856,-1.9091267943581467,0.46689312086832546,0.019845431779974793,-1.6223492783627909,0.7323006734012061,-1.5119181201723286
1.6344131766638426,-0.8304799837503237,-1.2649445997717266,-0.9196700864298933,-1.057142626258678,1.0128277398110856,-1.6756530019309728,0.6504060560345984,-0.06012576361061678,-1.506314190980348,0.8378318317881391,-1.5119181201723286
1.7206530099436808,-0.8304799837503237,-1.2649445997717266,-0.9196700864298933,-1.057142626258678,1.0128277398110856,-1.6756530019309728,0.3936598781250759,-0.001964894235641206,-1.4289574660587192,0.8378318317881391,-1.5119181201723286
1.7973106395257592,-0.8304799837503237,-1.2649445997717266,-0.9744211615673123,-1.057142626258678,1.0128277398110856,-1.6756530019309728,0.4997585888543613,0.18705793123302938,-1.3748077586135798,0.8378318317881391,-1.5119181201723286
1.8739682691078379,-0.8304799837503237,-1.2649445997717266,-1.0291722367047318,-1.057142626258678,1.0128277398110856,-1.4216245789743251,0.7084443995413859,0.07073619248307826,-1.3902791035979047,0.8905974109816056,-1.4696107120071737
1.643995380361602,-0.8304799837503237,-1.2649445997717266,-1.083923311842151,-1.057142626258678,1.0128277398110856,-1.4216245789743251,0.39219245784519774,0.08527640982682215,-1.312922378676276,0.8905974109816056,-1.4696107120071737
1.529008935988485,-0.8304799837503237,-1.2649445997717266,-1.13867438697957,-1.057142626258678,1.0128277398110856,-1.4216245789743251,0.2969529247624818,0.06346608381120647,-1.3748077586135798,0.8905974109816056,-1.4696107120071737
1.4906801211974459,-0.8304799837503237,-1.2649445997717266,-1.1934254621169895,-1.057142626258678,1.0128277398110856,-0.9769072738773971,0.5981148383125394,0.06346608381120647,-1.5295212084568373,0.6267695150142768,-1.4273033038420186
1.375693676824328,-0.8304799837503237,-1.2649445997717266,-1.2481765372544085,-1.057142626258678,1.0128277398110856,-0.9769072738773971,0.40632584514382836,0.027115540451846578,-1.6068779333784662,0.6267695150142768,-1.4273033038420186
1.2798716398467294,-0.8304799837503237,-1.2649445997717266,-1.2481765372544085,-1.057142626258678,1.0128277398110856,-0.9769072738773971,0.1884367171582268,0.3397302133423401,-1.5681995709176517,0.6267695150142768,-1.4273033038420186
1.356529269428808,-0.8304799837503237,-1.2649445997717266,-1.2481765372544085,-1.057142626258678,0.3098848092240698,-0.6562997215970193,0.43512548772375303,0.46332206076416305,-1.5358644599004103,0.7323006734012061,-1.3849958956768635
