,Date,S&P/Case-Shiller CA-San Francisco Home Price Index,Condo Price Index for San Francisco,Consumer Price Index for All Urban Consumers: Rent,Consumer Price Index for All Urban Consumers: All Items(CBSA),"Total Gross Domestic Product, Millions of Dollars, Annual(MSA)",Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,"Per Capita Personal Income,Dollars, Annual(MSA)","Resident Population, Thousands of Persons, Annual(MSA)",Unemployment Rate(MSA),All-Transactions House Price Index（MSAD）,Consumer Price Index for All Urban Consumers: Housing（CBSA）,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent（CBSA）,"Economic Conditions Index,percent（MSA）",New Private Housing Structures Authorized by Building Permits（MSA）
74,1993-03-01,68.065505641509000,,162.600,145.700,,,,,,,6.3,,147.800,173.100,2.29,718.22297717625700
75,1993-04-01,67.991240829196000,,165.100,146.800,,,,,,,6.2,102.06,149.500,175.500,2.32,568.82436652844400
76,1993-05-01,67.761870348862000,,164.800,146.900,,,,,,,6.2,,150.000,176.800,2.02,593.88226726970600
77,1993-06-01,67.473263101148000,,164.200,146.100,,,,,,,6.6,,149.400,174.900,1.52,837.30426941596500
78,1993-07-01,66.931306384017000,,164.000,146.100,,,,,,,6.9,101.62,149.100,174.500,1.22,674.53844305472100
79,1993-08-01,66.951066897632000,,164.400,146.200,,,,,,,6.6,,149.400,174.900,1.43,630.76515913540200
80,1993-09-01,66.831625365259000,,164.600,146.500,,,,,,,6.4,,149.700,176.200,1.70,490.17520476318900
81,1993-10-01,66.772023833850000,,165.400,147.000,,,,,,,6.2,101.55,149.800,175.600,1.78,923.17993796073500
82,1993-11-01,66.724370374769000,,166.900,147.200,,,,,,,5.9,,150.300,177.100,2.03,548.24387951323000
83,1993-12-01,66.630978471553000,,166.100,147.000,,,,,,,5.5,,150.400,177.500,2.25,498.77772532378000
84,1994-01-01,66.634809327175000,,165.800,147.500,,,,,30606,,6.4,101.17,150.400,176.800,1.76,461.42998704479900
85,1994-02-01,66.648560751804000,,165.600,147.400,,,,,,,6.2,,150.400,177.100,2.44,583.66469426845400
86,1994-03-01,67.321860803156000,,166.800,148.200,,,,,,,6.0,,150.800,178.100,3.46,971.10464153904100
87,1994-04-01,67.418577152816000,,166.900,148.000,,,,,,,5.9,100.45,150.200,177.100,3.62,860.88245184232800
88,1994-05-01,67.537251639264000,,166.900,148.300,,,,,,,5.6,,151.200,178.200,3.07,790.02472469691100
89,1994-06-01,67.612727602973000,,167.600,148.100,,,,,,,6.0,,151.700,179.000,2.73,735.39204082728300
90,1994-07-01,67.640450475699000,,168.400,148.900,,,,,,,6.4,100.00,152.500,180.100,2.95,757.99737309509700
91,1994-08-01,67.682135716686000,,168.700,149.400,,,,,,,6.2,,153.000,180.100,3.51,814.25252941010800
92,1994-09-01,67.543090431968000,,168.400,149.400,,,,,,,5.9,,152.700,179.700,3.93,778.31432775486200
93,1994-10-01,67.793425402400000,,168.300,149.400,,,,,,,5.5,98.83,152.200,179.200,4.04,620.74306983258100
94,1994-11-01,68.050658247489000,,168.000,149.800,,,,,,,5.1,,151.700,179.100,4.52,827.18881469402900
95,1994-12-01,68.311636448738000,,168.300,149.400,,,,,,,4.6,,151.600,179.800,4.99,793.24564376511600
96,1995-01-01,68.415407064182000,59.523902588684000,168.100,150.300,,,,,32561,,5.5,100.00,152.600,179.800,4.87,479.24011390120700
97,1995-02-01,68.321342233848000,59.688840289698000,168.500,150.500,,,,,,,5.3,,153.200,180.400,5.09,685.49494139532000
98,1995-03-01,67.725239457597000,59.988373605087000,169.000,151.100,,,,,,,5.3,,153.500,181.100,3.79,640.76262432829800
99,1995-04-01,67.406391714344000,60.059599410044000,169.200,151.500,,,,,,,5.6,100.10,153.900,181.300,3.23,575.12488893249300
100,1995-05-01,67.105979902795000,59.502085484979000,169.400,151.300,,,,,,,5.4,,154.400,181.100,4.19,710.43790564464900
101,1995-06-01,66.921254153676000,58.824120883150000,170.000,151.700,,,,,,,5.7,,154.800,181.500,4.79,621.59072267959300
102,1995-07-01,66.964520955911000,58.248787817783000,170.100,151.500,,,,,,,6.1,100.85,154.800,181.500,5.13,809.31555249474200
103,1995-08-01,67.018593645825000,58.191553912255000,170.600,151.500,,,,,,,5.8,,155.000,181.800,5.58,795.46298031661000
104,1995-09-01,67.107895869238000,58.175846586849000,170.700,152.300,,,,,,,5.6,,155.700,182.100,5.21,731.68929547844100
105,1995-10-01,66.971346849034000,58.871479279719000,170.800,152.600,,,,,,,5.2,100.93,155.600,182.700,4.45,881.34199621241900
106,1995-11-01,66.906437610383000,58.374401238668000,171.400,152.400,,,,,,,4.9,,155.500,183.600,5.20,888.00439742822500
107,1995-12-01,66.849720723849000,58.808293196405000,171.600,152.100,,,,,,,4.4,,155.200,183.800,5.66,965.68990175402700
