,Date,Consumer Price Index for All Urban Consumers: Housing(CBSA),All-Transactions House Price Index(MSAD),S&P/Case-Shiller NY-New York Home Price Index,Consumer Price Index for All Urban Consumers: All Items(CBSA),"New Private Housing Structures Authorized by Building Permits, Units(MSA)","Economic Conditions Index, percent(MSA)","Civilian Labor Force, persons(MSA)",Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),"Per Capita Personal Income, Dollars(MSA)","Resident Population, Thousands of Persons, Annual(MSA)",Consumer Price Index for All Urban Consumers: Rent(CBSA),Unemployment Rate(MSA),"Total Gross Domestic Product, Millions of Dollars(MSA)"
48,1980-01-01,76.900,36.31,,78.200,,,,,,,,12015,,79.900,,
49,1980-02-01,77.300,,,78.900,,,,,,,,,,80.200,,
50,1980-03-01,78.500,,,80.000,,,,,,,,,,80.200,,
51,1980-04-01,79.000,37.57,,80.600,,,,,,,,,,80.200,,
52,1980-05-01,79.900,,,81.100,,,,,,,,,,81.000,,
53,1980-06-01,81.500,,,82.100,,,,,,,,,,81.300,,
54,1980-07-01,82.000,37.28,,82.600,,,,,,,,,,81.900,,
55,1980-08-01,82.500,,,83.300,,,,,,,,,,82.800,,
56,1980-09-01,82.100,,,83.600,,,,,,,,,,83.400,,
57,1980-10-01,82.500,37.18,,84.100,,,,,,,,,,83.500,,
58,1980-11-01,83.100,,,84.600,,,,,,,,,,84.600,,
59,1980-12-01,84.700,,,85.500,,,,,,,,,,85.700,,
60,1981-01-01,85.400,38.31,,86.300,,,,,,,,13426,,86.200,,
61,1981-02-01,86.400,,,87.400,,,,,,,,,,86.200,,
62,1981-03-01,86.400,,,87.800,,,,,,,,,,86.800,,
63,1981-04-01,86.800,39.92,,88.300,,,,,,,,,,86.800,,
64,1981-05-01,87.500,,,88.800,,,,,,,,,,86.900,,
65,1981-06-01,88.500,,,89.500,,,,,,,,,,87.500,,
66,1981-07-01,90.100,41.00,,90.800,,,,,,,,,,88.500,,
67,1981-08-01,91.300,,,91.600,,,,,,,,,,88.700,,
68,1981-09-01,93.200,,,93.000,,,,,,,,,,89.000,,
69,1981-10-01,92.600,40.86,,92.700,,,,,,,,,,89.600,,
70,1981-11-01,92.300,,,92.600,,,,,,,,,,90.700,,
71,1981-12-01,92.200,,,92.700,,,,,,,,,,91.100,,
72,1982-01-01,91.800,39.72,,92.900,,,,,,,,14544,,91.900,,
