CIVILIAN LABOR FORCE,,,,,,,,,
NECTA DIVISIONS OF THE BOSTON-CAMBRIDGE-QUINCY METROPOLITAN NECTA,,,,,,,,,
"('000s, NOT SEASONALLY ADJUSTED)",,,,,,,,,
,,,,,,,,,
Source: U.S. Bureau of Labor Statistics.,,,,,,,,,
,,,,,,,,,
DATE,Boston-Cambridge-Quincy,Brockton-Bridgewater-Easton,Framingham,Haverhill-North Andover-Amesbury,Lawrence-Methuen-Salem,Lowell-Billerica-Chelmsford,Peabody,Taunton-Norton-Raynham,"Nashua, NH"
Dec-18,1676,111.6,162.9,117.7,99.2,197.5,94.4,87.1,175.2
Jan-19,1678.5,111.2,163.1,118.4,100,198.7,94,87.2,177.1
Feb-19,1682.3,112.1,162.5,117.6,99.5,198.7,94.6,87.3,175.8
Mar-19,1685.6,111.9,162.7,118.1,99.7,198.6,94.7,87.3,176.8
Apr-19,1677.7,111.6,161.9,118.1,99,197.6,93.8,86.8,176.1
May-19,1677,111.4,162.2,118.6,99,197.8,93.6,87.1,176.5
Jun-19,1703.5,112.3,164.9,121.3,100.4,200.6,94.5,88.1,179.3
Jul-19,1709,112.5,165,121.2,100.3,200.7,95,87.7,178.9
Aug-19,1706.1,112.4,164.6,120.6,100.1,200.4,94.8,87.8,178.5
Sep-19,1681.7,111.5,161.8,118.5,98.7,197.7,94.1,86.9,176.8
Oct-19,1697.5,112.4,163.2,118.5,99.4,198.3,95.1,87.2,177.2
Nov-19,1700.9,113,163.5,118.7,99.4,198.5,95,87.7,177.7
Dec-19,1694.8,112.9,163.9,118.4,99.3,198.2,95.3,87.7,177.6
Jan-20,1692,112.3,164,118.9,99.3,198.2,94.4,87.6,181
Feb-20,1694.2,112.4,163.6,118.3,99.2,198.3,95,87.4,179.5
Mar-20,1673,111,161.8,115.8,97.7,195.7,94.3,86.3,176.8
Apr-20,1483.3,103.1,143.5,106.1,93,175.5,86.2,80.8,164.8
May-20,1544.6,107.3,149.3,108.9,97.2,183,89.4,83.4,168.7
Jun-20,1629.8,112.9,157.5,113.4,103,191.4,94.3,86.9,169.9
Jul-20,1634.8,112,157.7,113.7,102.3,190,94,86.2,172
Aug-20,1580,107,152.8,110.8,97.2,183,90.9,82.6,172.3
Sep-20,1654.3,111.8,159.5,113.5,100.3,192.2,95,86,170.3
Oct-20,1598,106.6,155.4,110.2,95.1,185.8,91.3,82.5,168
