,Date,Consumer Price Index for All Urban Consumers: Rent(CBSA),All-Transactions House Price Index(MSAD),New Private Housing Units Authorized by Building Permits: 1-Unit Structures(MSA),Consumer Price Index for All Urban Consumers: housing(CBSA),Consumer Price Index for All Urban Consumers: All items(CBSA),Economic Conditions Index(MSA),"Total Gross Domestic Product for Dallas,Millions of Dollars(MSA)",S&P/Case-Shiller TX-Dallas Home Price Index,Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),"Civilian Labor Force in Dallas,persons(MSA)","Per Capita Personal Income,persons,Dollars, Annual(MSA)","Resident Population, Thousands of Persons, Annual(MSA)","Unemployment Rate, percent(MSA)"
52,1968-03-01,,,,,,,,,,,,,,,,
53,1968-04-01,,,,,,,,,,,,,,,,
54,1968-05-01,41.600,,,,33.200,,,,,,,,,,,
55,1968-06-01,,,,,,,,,,,,,,,,
56,1968-07-01,,,,,,,,,,,,,,,,
57,1968-08-01,42.000,,,,33.500,,,,,,,,,,,
58,1968-09-01,,,,,,,,,,,,,,,,
59,1968-10-01,,,,,,,,,,,,,,,,
60,1968-11-01,42.300,,,,34.000,,,,,,,,,,,
61,1968-12-01,,,,,,,,,,,,,,,,
62,1969-01-01,,,,,,,,,,,,,,4164,,
63,1969-02-01,42.500,,,,34.400,,,,,,,,,,,
64,1969-03-01,,,,,,,,,,,,,,,,
65,1969-04-01,,,,,,,,,,,,,,,,
66,1969-05-01,43.000,,,,35.200,,,,,,,,,,,
67,1969-06-01,,,,,,,,,,,,,,,,
68,1969-07-01,,,,,,,,,,,,,,,,
69,1969-08-01,43.400,,,,35.700,,,,,,,,,,,
70,1969-09-01,,,,,,,,,,,,,,,,
71,1969-10-01,,,,,,,,,,,,,,,,
72,1969-11-01,43.900,,,,36.500,,,,,,,,,,,
73,1969-12-01,,,,,,,,,,,,,,,,
74,1970-01-01,,,,,,,,,,,,,,4335,,
75,1970-02-01,44.500,,,,37.000,,,,,,,,,,,
76,1970-03-01,,,,,,,,,,,,,,,,
77,1970-04-01,,,,,,,,,,,,,,,,
78,1970-05-01,44.800,,,,37.500,,,,,,,,,,,
79,1970-06-01,,,,,,,,,,,,,,,,
80,1970-07-01,,,,,,,,,,,,,,,,
81,1970-08-01,45.000,,,,37.800,,,,,,,,,,,
82,1970-09-01,,,,,,,,,,,,,,,,
83,1970-10-01,,,,,,,,,,,,,,,,
84,1970-11-01,45.300,,,,37.900,,,,,,,,,,,
85,1970-12-01,,,,,,,,,,,,,,,,
86,1971-01-01,,,,,,,,,,,,,,4552,,
87,1971-02-01,45.400,,,,38.200,,,,,,,,,,,
88,1971-03-01,,,,,,,,,,,,,,,,
89,1971-04-01,,,,,,,,,,,,,,,,
90,1971-05-01,45.500,,,,38.400,,,,,,,,,,,
91,1971-06-01,,,,,,,,,,,,,,,,
92,1971-07-01,,,,,,,,,,,,,,,,
93,1971-08-01,45.500,,,,39.100,,,,,,,,,,,
94,1971-09-01,,,,,,,,,,,,,,,,
95,1971-10-01,,,,,,,,,,,,,,,,
96,1971-11-01,45.400,,,,39.000,,,,,,,,,,,
97,1971-12-01,,,,,,,,,,,,,,,,
98,1972-01-01,,,,,,,,,,,,,,5012,,
99,1972-02-01,45.500,,,,39.400,,,,,,,,,,,
100,1972-03-01,,,,,,,,,,,,,,,,
101,1972-04-01,,,,,,,,,,,,,,,,
102,1972-05-01,45.500,,,,39.700,,,,,,,,,,,
103,1972-06-01,,,,,,,,,,,,,,,,
104,1972-07-01,,,,,,,,,,,,,,,,
105,1972-08-01,45.500,,,,40.000,,,,,,,,,,,
106,1972-09-01,,,,,,,,,,,,,,,,
107,1972-10-01,,,,,,,,,,,,,,,,
108,1972-11-01,45.700,,,,40.100,,,,,,,,,,,
109,1972-12-01,,,,,,,,,,,,,,,,
110,1973-01-01,,,,,,,,,,,,,,5501,,
111,1973-02-01,45.800,,,,40.700,,,,,,,,,,,
112,1973-03-01,,,,,,,,,,,,,,,,
113,1973-04-01,,,,,,,,,,,,,,,,
114,1973-05-01,46.000,,,,41.600,,,,,,,,,,,
115,1973-06-01,,,,,,,,,,,,,,,,
116,1973-07-01,,,,,,,,,,,,,,,,
117,1973-08-01,46.300,,,,42.600,,,,,,,,,,,
118,1973-09-01,,,,,,,,,,,,,,,,
119,1973-10-01,,,,,,,,,,,,,,,,
120,1973-11-01,46.700,,,,43.200,,,,,,,,,,,
121,1973-12-01,,,,,,,,,,,,,,,,
122,1974-01-01,,,,,,,,,,,,,,6056,,
123,1974-02-01,47.100,,,,44.500,,,,,,,,,,,
124,1974-03-01,,,,,,,,,,,,,,,,
125,1974-04-01,,,,,,,,,,,,,,,,
126,1974-05-01,47.400,,,,45.600,,,,,,,,,,,
127,1974-06-01,,,,,,,,,,,,,,,,
128,1974-07-01,,,,,,,,,,,,,,,,
129,1974-08-01,47.700,,,,47.000,,,,,,,,,,,
130,1974-09-01,,,,,,,,,,,,,,,,
131,1974-10-01,,,,,,,,,,,,,,,,
132,1974-11-01,48.300,,,,48.200,,,,,,,,,,,
133,1974-12-01,,,,,,,,,,,,,,,,
134,1975-01-01,,,,,,,,,,,,,,6634,,
135,1975-02-01,48.800,,,,49.100,,,,,,,,,,,
136,1975-03-01,,,,,,,,,,,,,,,,
137,1975-04-01,,,,,,,,,,,,,,,,
138,1975-05-01,49.400,,,,49.700,,,,,,,,,,,
139,1975-06-01,,,,,,,,,,,,,,,,
140,1975-07-01,,,,,,,,,,,,,,,,
141,1975-08-01,50.000,,,,51.200,,,,,,,,,,,
142,1975-09-01,,,,,,,,,,,,,,,,
143,1975-10-01,,40.95,,,,,,,,,,,,,,
144,1975-11-01,50.800,,,46.000,51.800,,,,,,,,,,,
145,1975-12-01,,,,,,,,,,,,,,,,
146,1976-01-01,,39.76,,,,,,,,,,,,7220,,
147,1976-02-01,51.500,,,47.000,52.200,,,,,,,,,,,
148,1976-03-01,,,,,,,,,,,,,,,,
149,1976-04-01,,45.51,,,,,,,,,,,,,,
150,1976-05-01,52.200,,,47.700,53.000,,,,,,,,,,,
151,1976-06-01,,,,,,,,,,,,,,,,
152,1976-07-01,,42.45,,,,,,,,,,,,,,
153,1976-08-01,53.000,,,48.400,53.900,,,,,,,,,,,
154,1976-09-01,,,,,,,,,,,,,,,,
155,1976-10-01,,42.15,,,,,,,,,,,,,,
156,1976-11-01,53.800,,,49.400,54.700,,,,,,,,,,,
157,1976-12-01,,,,,,,,,,,,,,,,
158,1977-01-01,,44.93,,,,,,,,,,,,7928,,
159,1977-02-01,55.200,,,50.000,55.900,,,,,,,,,,,
160,1977-03-01,,,,,,,,,,,,,,,,
161,1977-04-01,,51.58,,,,,,,,,,,,,,
162,1977-05-01,56.600,,,51.400,57.200,,,,,,,,,,,
163,1977-06-01,,,,,,,,,,,,,,,,
164,1977-07-01,,47.10,,,,,,,,,,,,,,
165,1977-08-01,57.800,,,52.400,58.100,,,,,,,,,,,
166,1977-09-01,,,,,,,,,,,,,,,,
167,1977-10-01,,49.41,,,,,,,,,,,,,,
168,1977-11-01,59.100,,,53.000,58.600,,,,,,,,,,,
169,1977-12-01,,,,,,,,,,,,,,,,
170,1978-01-01,,51.86,,,,,,,,,,,,8995,,
171,1978-02-01,60.600,,,54.300,59.500,,,,,,,,,,,
172,1978-03-01,,,,,,,,,,,,,,,,
173,1978-04-01,61.800,56.72,,55.300,60.300,,,,,,,,,,,
174,1978-05-01,,,,,,,,,,,,,,,,
175,1978-06-01,62.600,,,56.700,61.700,,,,,,,,,,,
176,1978-07-01,,58.08,,,,,,,,,,,,,,
177,1978-08-01,64.300,,,58.200,62.900,,,,,,,,,,,
178,1978-09-01,,,,,,,,,,,,,,,,
179,1978-10-01,66.000,60.14,,59.000,63.700,,,,,,,,,,,
180,1978-11-01,,,,,,,,,,,,,,,,
181,1978-12-01,66.600,,,58.900,64.300,,,,,,,,,,,
182,1979-01-01,,62.15,,,,,,,,,,,,10137,,
183,1979-02-01,68.400,,,60.400,65.600,,,,,,,,,,,
184,1979-03-01,,,,,,,,,,,,,,,,
185,1979-04-01,69.300,67.80,,62.000,67.300,,,,,,,,,,,
186,1979-05-01,,,,,,,,,,,,,,,,
187,1979-06-01,69.800,,,64.800,69.300,,,,,,,,,,,
188,1979-07-01,,69.24,,,,,,,,,,,,,,
189,1979-08-01,70.800,,,66.900,71.100,,,,,,,,,,,
190,1979-09-01,,,,,,,,,,,,,,,,
191,1979-10-01,72.200,71.91,,69.300,72.700,,,,,,,,,,,
192,1979-11-01,,,,,,,,,,,,,,,,
193,1979-12-01,73.200,,,71.300,74.600,,,,,,,,,,,
194,1980-01-01,,74.79,,,,,,,,,,,,11352,,
195,1980-02-01,75.000,,,73.600,77.000,,,,,,,,,,,
196,1980-03-01,,,,,,,,,,,,,,,,
197,1980-04-01,76.000,75.99,,77.700,80.100,,,,,,,,,,,
